diff,pct_transactions,pct_raised,label
0,0.10962048927469689,0.06753122310939032,disaster: typhoon Haiyan
0,0.17969610218013653,0.33998187545567243,eoy: eoy 2012
0,0.21570787088028467,0.3485739476016521,eoy: eoy 2013
0,0.26404608332319175,0.35503822716816147,eoy: eoy 2014
0,0.29450438300741739,0.36438236237598687,eoy: eoy 2015
0,0.26633946100303408,0.3145603778783811,eoy: eoy 2016
0,0.11409395973154362,0.10849279668046218,gt: gt 2012
0,0.13855537720706260,0.17491701400093304,gt: gt 2013
0,0.21279688170977438,0.22500283114214462,gt: gt 2014
0,0.42448450088761436,0.44220967687058194,gt: gt 2015
0,0.46405350309359464,0.4436153786355927,gt: gt 2016
1,0.04109336560113471,0.03417540722963298,disaster: hurricane harvey
1,0.07041606007202513,0.07986842855275489,disaster: hurricane sandy
